Type	Object Name Filter	Property	Display name	Unit	Chinese	Remarks
Architecture	*	Width		mm	高度	
		Height		mm	无连接高度	
		Length		mm	长度	
		Area		sqm	面积	
		Material			材质	
		Head Height		mm	顶高度	
						
	Window	Sill Height		mm	底高度	
						
	Floor	Room				Must be detected by bbox intersection in code
		Area			面积	
		Slope			坡度	
						
Structural	*	Type b	Width	mm		
		Type h	Height	mm		
	Column	Column Location Mark			柱定位标记	
						
						
						
MEP	*	System Name			系统名称	
		System Type			系统类型	
		System Classification			系统分类	
		Material			材质	
		Size			尺寸	
		Length		mm	长度	
						
FS						All FS objects show Name and Revit ID only
						
Rooms	Room	Area		sqm	面积	
		Number			编号	
		Volume		cbm	体积	
		Name			名称	
		Unbounded Height		mm	房间标示高度	For volume calculation
						
						
						
						
						
						
						
